Size,Win cal, Win real,Win cplx,Tranpose,Hilbert,FFT(C2C),FFT(R2C),IFFT(C2C),Abs
512x256,  0.0640,  0.0043,  0.0041,  0.0040,  4.9243,  0.9502,  0.9623,  0.9479,  0.0079 
1024x512,  0.1551,  0.0043,  0.0041,  0.0039,  3.9915,  1.0739,  1.0746,  1.0547,  0.0081 
2048x1024,  0.4764,  0.0044,  0.0040,  0.0039,  4.4305,  1.4598,  1.7906,  1.7842,  0.0079 
4096x2048,  1.8295,  0.0044,  0.0040,  0.0039,  16.9641,  4.4121,  6.6049,  6.6081,  0.0080 
4096x4096,  3.6166,  0.0048,  0.0040,  0.0037,  42.7205,  8.5950,  13.0133,  12.9863,  0.0084 
8192x4096,  7.2288,  0.0054,  0.0041,  0.0039,  90.8589,  16.9947,  25.8470,  25.7898,  0.0089 
16384x8192,
