Size,Win cal, Win real,Win cplx,Tranpose,Hilbert,FFT(C2C),FFT(R2C),IFFT(C2C),Abs
512x256,  0.0656,  0.0041,  0.0037,  0.0037,  4.5490,  0.9690,  0.9778,  0.9681,  0.0080 
1024x512,  0.1501,  0.0044,  0.0040,  0.0040,  4.0707,  1.1099,  1.1104,  1.0819,  0.0085 
2048x1024,  0.4730,  0.0043,  0.0040,  0.0040,  4.4425,  1.4743,  1.7916,  1.8239,  0.0083 
4096x2048,  1.8214,  0.0045,  0.0040,  0.0039,  17.0603,  4.4440,  6.6468,  6.6347,  0.0085 
4096x4096,  3.6807,  0.0055,  0.0040,  0.0041,  43.4321,  8.7227,  13.2755,  13.2714,  0.0106 
8192x4096,  7.3335,  0.0072,  0.0044,  0.0045,  92.9490,  18.0152,  18.4225,  26.2327,  0.0140 
16384x8192,
